"Población de 3 años y más"
""
"Consulta de: Población de 5 años y más   Por: Entidad y municipio   Según: Entidad o país de residencia 2005"
"","","Total","En la entidad","En otra entidad","En los Estados Unidos de América","En otro país","No especificado",""
" ","Total","100,410,810","95,431,977","3,292,310","994,474","86,180","605,869"
"=CONCATENAR(0,01) ","Aguascalientes","1,059,407","998,392","41,061","14,883","996","4,075"
"=CONCATENAR(0,02) ","Baja California","2,824,411","2,593,355","154,029","55,734","2,062","19,231"
"=CONCATENAR(0,03) ","Baja California Sur","566,931","484,647","73,920","4,821","824","2,719"
"=CONCATENAR(0,04) ","Campeche","739,127","695,644","33,895","3,079","983","5,526"
"=CONCATENAR(0,05) ","Coahuila de Zaragoza","2,452,185","2,361,614","61,636","15,104","1,401","12,430"
"=CONCATENAR(0,06) ","Colima","584,445","527,093","41,483","12,524","684","2,661"
"=CONCATENAR(0,07) ","Chiapas","4,199,721","4,110,793","50,571","14,946","6,883","16,528"
"=CONCATENAR(0,08) ","Chihuahua","2,980,249","2,853,600","58,334","42,973","1,422","23,920"
"=CONCATENAR(0,09) ","Distrito Federal","8,034,809","7,694,185","239,125","20,163","21,376","59,960"
"=CONCATENAR( ,10) ","Durango","1,442,826","1,374,075","39,200","21,641","441","7,469"
"=CONCATENAR( ,11) ","Guanajuato","4,907,753","4,713,676","91,456","79,661","2,367","20,593"
"=CONCATENAR( ,12) ","Guerrero","3,016,151","2,907,033","53,193","40,455","657","14,813"
"=CONCATENAR( ,13) ","Hidalgo","2,388,657","2,216,463","122,511","39,720","885","9,078"
"=CONCATENAR( ,14) ","Jalisco","6,569,065","6,268,399","160,853","94,995","6,803","38,015"
"=CONCATENAR( ,15) ","México","13,562,702","12,843,671","583,607","55,984","7,113","72,327"
"=CONCATENAR( ,16) ","Michoacán de Ocampo","3,876,002","3,687,593","79,866","88,043","1,218","19,282"
"=CONCATENAR( ,17) ","Morelos","1,596,669","1,486,384","78,610","23,868","1,389","6,418"
"=CONCATENAR( ,18) ","Nayarit","971,500","882,442","62,708","23,447","639","2,264"
"=CONCATENAR( ,19) ","Nuevo León","4,177,056","3,955,966","133,657","16,662","4,482","66,289"
"=CONCATENAR( ,20) ","Oaxaca","3,405,990","3,265,798","84,534","41,846","956","12,856"
"=CONCATENAR( ,21) ","Puebla","5,149,377","4,950,128","130,190","40,166","2,986","25,907"
"=CONCATENAR( ,22) ","Querétaro","1,636,080","1,514,796","94,336","17,095","2,625","7,228"
"=CONCATENAR( ,23) ","Quintana Roo","1,173,159","1,000,344","143,899","5,800","5,265","17,851"
"=CONCATENAR( ,24) ","San Luis Potosí","2,315,022","2,218,398","57,368","27,783","1,176","10,297"
"=CONCATENAR( ,25) ","Sinaloa","2,504,505","2,393,511","73,573","22,423","789","14,209"
"=CONCATENAR( ,26) ","Sonora","2,391,220","2,260,965","78,545","38,858","1,199","11,653"
"=CONCATENAR( ,27) ","Tabasco","1,989,933","1,935,521","39,263","3,600","1,466","10,083"
"=CONCATENAR( ,28) ","Tamaulipas","2,863,821","2,686,559","106,410","26,438","1,511","42,903"
"=CONCATENAR( ,29) ","Tlaxcala","1,048,423","998,918","38,100","6,740","390","4,275"
"=CONCATENAR( ,30) ","Veracruz de Ignacio de la Llave","6,885,949","6,592,843","206,240","56,521","2,864","27,481"
"=CONCATENAR( ,31) ","Yucatán","1,772,252","1,704,481","49,815","5,124","1,826","11,006"
"=CONCATENAR( ,32) ","Zacatecas","1,325,413","1,254,690","30,322","33,377","502","6,522"

"FUENTE: INEGI. Censo de Población y Vivienda 2010."
