year,lwhrs,probapp,visaaccs,insbudgt,cbpbudgt,icebugt,cisbugt,bpebudgt,dfinvest,exchrate,lagexch,deval,infrate,mexint,mexrlint,mexgdppc,const10,exports,imports,tradebal,mxminwag,mxunemp,usavwage,usunemp,totusemp
1965,920000,.312,.304,193.4,8888,8888,8888,41.7,214,.013,9999,0,4.1271,10.7,6.5729,1131443.26,6.9225,1105,638,467,17.79,9999,10.21,.045,71088
1966,930000,.386,.313,201.1,8888,8888,8888,49.2,183,.013,.013,0,2.9724,11.2,8.2276,1223591.87,6.7302,1179,750,429,20.9,9999,10.33,.038,72895
1967,937566,.383,.296,232.7,8888,8888,8888,52.3,130,.013,.013,0,2.3079,12.2,9.8921,1285981.01,6.5287,1222,749,473,20.9,9999,10.49,.038,74372
1968,941860,.408,.21,214,8888,8888,8888,47.8,227,.013,.013,0,1.6297,10.2,8.5703,1399055.58,6.2661,1378,910,468,24.15,9999,10.7,.036,75920
1969,909623,.345,.122,208.3,8888,8888,8888,46.3,297,.013,.013,0,4.8819,12.7,7.8181,1499564.46,5.9417,1450,1029,421,24.15,9999,10.83,.035,77902
1970,1148854,.368,.076,218,8888,8888,8888,47,323,.013,.013,0,5.3232,15.6,10.2768,1697470.9,5.6201,1704,1219,485,27.93,9999,10.88,.049,78678
1971,1118710,.367,.082,228.5,8888,8888,8888,55.9,307,.013,.013,0,4.8276,16.8,11.9724,1783999.6,5.3842,1622,1263,359,27.93,9999,11.13,.059,79120
1972,1259430,.391,.097,269.1,8888,8888,8888,60.5,301,.013,.013,0,11.4034,15.7,4.2966,1947330.29,5.2167,1982,1632,350,33.23,9999,11.57,.056,81702
1973,1279198,.401,.076,289.6,8888,8888,8888,64.7,457,.013,.013,0,21.3391,15.7,-5.6391,1962984.82,4.9113,2937,2306,631,39.2,.075,11.6,.049,85064
1974,1253191,.402,.07,281.6,8888,8888,8888,62.6,678,.013,.013,0,13.928,19.6,5.672,2119644.24,4.4231,4855,3386,1469,45.03,.072,11.24,.056,86794
1975,1465423,.412,.062,272.8,8888,8888,8888,63.1,609,.013,.013,0,14.6903,12,-2.6903,2328542.55,4.0532,5141,3066,2075,55.24,.072,11.01,.085,85846
1976,1775890,.404,.064,286.3,8888,8888,8888,67.3,628,.02,.013,.5385,25.5136,11.8,-13.7136,2281374.29,3.8323,4990,3598,1392,82.74,.067,11.16,.077,88752
1977,1740446,.399,.034,314.9,8888,8888,8888,67.9,556,.023,.02,.15,16.09,12.9,-3.19,2550366.86,3.5983,4822,4694,128,91.2,.08,11.32,.071,92017
1978,1762616,.378,.059,283.1,8888,8888,8888,78.1,824,.023,.023,0,16.7141,15.1,-1.6141,2774795.09,3.3445,6680,6094,586,103.49,.069,11.41,.061,96048
1979,1935926,.341,.037,303.7,8888,8888,8888,65.5,1332,.023,.023,0,23.39,16.4,-6.99,3034091,3.0036,9847,8800,1047,119.78,.057,11.09,.058,98824
1980,1815797,.346,.044,351.3,8888,8888,8888,82.6,2090,.023,.023,0,24.6336,20.7,-3.9336,3405050.34,2.6464,15145,12580,2565,140.69,.045,10.56,.071,99303
1981,1929448,.331,.064,370.1,8888,8888,8888,85.6,3078,.026,.023,.1304,46.3189,28.6,-17.7189,3632683.36,2.3989,17789,13765,4024,183.05,.042,10.42,.076,100397
1982,1871173,.32,.031,441.5,8888,8888,8888,98.7,1901,.096,.026,2.6923,70.248,40.4,-29.848,2908362.34,2.2597,11817,15566,-3749,318.28,.042,10.4,.097,99526
1983,1976162,.309,.021,492.5,8888,8888,8888,110.1,2192,.144,.096,.5,50.3493,56.7,6.3507,2944772.74,2.1894,9082,16776,-7694,459.01,.068,10.52,.096,100834
1984,1843179,.302,.018,507.4,8888,8888,8888,114.1,1542,.193,.144,.3403,45.5831,51.1,5.5169,3042159.44,2.0987,11992,18020,-6028,719.02,.06,10.47,.075,105005
1985,1912895,.31,.019,580,8888,8888,8888,141.9,1984,.372,.193,.9275,62.183,56.1,-6.083,2980357.86,2.0266,13635,19132,-5497,1107.64,.048,10.41,.072,107150
1986,2401575,.291,.016,474.3,8888,8888,8888,150.9,2036,.924,.372,1.4839,84.0823,80.9,-3.1823,2419597.26,1.9896,12392,17302,-4910,2243.77,.049,10.45,.07,109597
1987,2546397,.265,.022,651.1,8888,8888,8888,194.6,1184,2.21,.924,1.3918,76.1564,94.6,18.4436,2288904.16,1.9195,14582,20271,-5689,5867.24,.038,10.33,.062,112440
1988,2069498,.234,.03,807.8,8888,8888,8888,205.3,2011,2.281,2.21,.0321,18.2387,67.6,49.3613,3076272.88,1.8433,20643,23277,-2634,7252.92,.035,10.25,.055,114968
1989,2570311,.212,.112,821,8888,8888,8888,246.4,2785,2.641,2.281,.1578,23.627,44.6,20.973,3346086.44,1.7585,24982,27162,-2180,9138.89,.029,10.18,.053,117342
1990,2781317,.223,.151,844.6,8888,8888,8888,261.1,2549,2.945,2.641,.1151,20.4265,37.1,16.6735,3491045.63,1.6684,28279,30157,-1878,10786.58,.027,10.01,.056,118793
1991,2638720,.24,.209,891.3,8888,8888,8888,295.5,4742,3.071,2.945,.0428,14.4169,22.6,8.1831,3708686.74,1.601,33277,31130,2147,12084.02,.027,9.9,.068,117718
1992,2642227,.245,.054,961.3,8888,8888,8888,325.8,4393,3.115,3.071,.0143,9.3048,18.8,9.4952,3909339.59,1.5542,40592,35211,5381,12084.02,.027,9.85,.075,118492
