COMMUN,MUNPOP50,MUNPOP60,MUNPOP70,MUNPOP80,MUNPOP90,MUNPOP00,COMPOP50,COMPOP60,COMPOP70,COMPOP80,COMPOP90,COMPOP00,POLCAT,METROCAT,CATTLE,PIGS,GRAINCAP,EJIDO,DTAWARD1,DTAWARDL,AWARDSZ,NAGRINST,HCTCORN,HCTWHEAT,HCTBEANS,HCTSORG,HCTPOTAT,HCTFORGE,HCTSUGAR,HCTOTHER,DISCORN,DISWHEAT,DISBEAN,DISSORG,DISPOTAT,DISFORGE,DISSUGAR,DISOTHER,HCTIRLND,HCTRNLND,HCTPASTR,HCTWOODS,HCTORCH,HCTPRIV,HCTEJIDO,HCTCMNL,PRCIRLND,PRCRNLND,PRCPASTR,PRCORCH,IRRIGATE,DAM,WELLSPRG,RESVOIR,HCTIRDAM,HCTIRWEL,HCTIRRES,FUNDDAM,FUNDWELL,FUNDRES,FACTORY,DURFACT,NDURFACT,MANUFPCS,MANPRDCT,LFPF50,LFPF60,LFPF70,LFPF80,LFPF90,LFPF00,AGRIF50,AGRIF60,AGRIF70,AGRIF80,AGRIF90,AGRIF00,MANUF50,MANUF60,MANUF70,MANUF80,MANUF90,MANUF00,SERVF50,SERVF60,SERVF70,SERVF80,SERVF90,SERVF00,LFPM50,LFPM60,LFPM70,LFPM80,LFPM90,LFPM00,AGRIM50,AGRIM60,AGRIM70,AGRIM80,AGRIM90,AGRIM00,MANUM50,MANUM60,MANUM70,MANUM80,MANUM90,MANUM00,SERVM50,SERVM60,SERVM70,SERVM80,SERVM90,SERVM00,SELF50,SELF60,SELF70,SELF80,SELF90,SELF00,OWNER50,OWNER60,OWNER70,OWNER80,OWNER90,OWNER00,LTMIN70,LTMIN80,LTMIN90,LTMIN00,MINX270,MINX280,MINX290,MINX200,DEATHS,CRIMES,ED6YR50,ED6YR60,ED6YR70,ED6YR80,ED6YR90,ED6YR00,CANTREAD,DIRTFLR,RUNWATER,ELECTRIC,NOPLMBNG,HSGINVST,CATHCHCH,PROTCHCH,PRIMSCH,SECONSCH,ACADEMY,PREPSCH,NORMSCH,UNIVERS,YRPRIM,YRSECON,YRPREP,DOCTROFF,GOVCLNCS,HOSPITAL,POSTOFFS,HOTELS,BANKS,YRBANK1,CAMBIOS,YRELEC,PCNTELEC,YRWATER,YRLIGHT,YRTELE,YRPOST,YRTGRAPH,MAJPAVED,MAJCOBB,YRPAVE,KMTOPAVE,MINTOHW,PAVETOHW,YRPAVEHW,TAXIS,TRAINSTN,PLAZA,MARKET,IMSSHOSP,PHARMACY,LENDERS,LENDRATE,VIDEO,SATDISH,BASEBALL,SOCCER,BASKETBL,BBLEAGUE,SCLEAGUE,BKLEAGUE,PARISH,PSMONTH,PSDAY,OSMONTH,OSDAY,SDCHANGE,SDRETURN,SDMASS,CPELEC,CPWATER,CPLIGHT,CPTELE,CPTGRAPH,CPPLAZA,MFELEC,MFWATER,MFLIGHT,MFPLAZA,MFMARKET,MFSPORTS,MFCHURCH,MFSCHOOL,MXWEIGHT,USWEIGHT,MUNPOP10,COMPOP10,LFPM10,LFPF10,AGRIM10,MANUM10,SERVM10,AGRIF10,MANUF10,SERVF10,SELF10,OWNER10,LTMIN10,MINX210,ED6YR10,horate90,horate91,horate92,horate93,horate94,horate95,horate96,horate97,horate98,horate99,horate00,horate01,horate02,horate03,horate04,horate05,horate06,horate07,horate08,horate09,horate10,horate11,horate12,horate13,horate14,horate15
1,34000,40000,50000,67000,84000,100000,18000,21000,27000,41000,52000,65000,2,2,72703,78935,43281,1,1936,1982,5,1,14296,6478,198,1931,288,0,0,0,1,1,1,1,1,8888,8888,8888,10440,16179,10928,0,0,15061,24785,9999,150000,55000,17000,8888,1,1,1,1,2100,8090,250,3,2,2,132,5,127,2993,1915853,.2091,.1426,.1462,.1799,.213605971627693,.332300199247288,.2586,.4029,.1539,.1057,.0575074287711938,.0269830392324824,.4915,.2942,.4654,.5076,.549903862961021,.547798526640397,.2499,.3029,.3807,.3867,.392588708267785,.42521843412712,.9205,.8987,.7013,.7149,.728398536448072,.759597465523668,.6103,.6519,.5276,.3816,.235652881040892,.128288378288378,.2674,.2059,.2816,.4,.518296933085502,.630328005328005,.1223,.1422,.1908,.2184,.246050185873606,.241383616383616,.4798,.3014,.2831,.2796,.189926225188828,.162502124766276,.0094,.0075,.0651,.0715,.0306516774986826,.0419003909569947,.489,.523,.219193892045455,.114375323703746,.1088,.1986,.399636008522727,.583443632387639,4366,962,.0963,.0916,.1566,.3807,.519307794024645,.64762788232176,11.1,5.7,77.6,93.9,11.8,80598,7,0,5,2,1,3,0,0,1900,1950,1970,13,4,6,94,3,6,1960,2,1915,95,1915,1915,1915,1890,1920,1,2,1965,0,0,1,1949,1,1,1,1,1,20,1,10,10,101,1,3,6,1,1,1,1,10,4,12,8,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3.9,7.86,113570,71139,.78999974695716,.381569839878178,.156315997888068,.559464097148891,.282800950369588,.033280145885571,.44945292910873,.514588557100524,.197125891260679,.035606278007108,.1073,.6613,.718106326306782,8.37310558486143,12.7652292035869,6.75514361480215,5.46135924106832,9.53719481854301,4.11230710709476,5.10955523666484,5.07891147944413,2.01938060134305,0,2.99284709544189,7.93433184140098,4.93000632230457,1.96048970565236,2.92356614375409,6.78182857475028,2.85146170783531,2.79746759896306,9.14831966793755,13.4626362607409,7.92462798274192,3.45536465730547,5.93238675746293,9.97723459891356,11.8345544839963,9.2042506903188
2,157000,261000,420000,656000,868000,1135000,123000,210000,365000,593000,758000,1021000,2,1,19241,16720,0,1,1937,1937,8,6,25550,3650,0,4736,0,0,0,0,1,1,8888,1,8888,8888,8888,8888,2253,1373,17573,0,0,43000,35000,9999,25000,4000,2000,8888,1,1,2,2,10341,0,0,3,8888,8888,2237,480,1757,221,116008,.1329,.1887,.1868,.2205,.254175497801648,.348698104195307,.1479,.2396,.0338,.0195,.00528001138546929,.00334842551209073,.3123,.2647,.3654,.3665,.36769373087597,.292259313718354,.5398,.4957,.6008,.614,.627026257738561,.704392260769556,.8806,.8651,.6981,.7289,.759670957512168,.766341000388073,.3141,.2801,.1436,.0931,.0426354044074937,.0230014709626319,.4951,.5083,.5752,.5726,.570105212116314,.537891431642669,.1908,.2116,.2812,.3343,.387259383476192,.439107097394699,.3064,.2061,.1425,.1527,.160365516711374,.16815667541944,.0181,.0135,.1044,.0784,.0288665981109359,.0324432460641907,.3082,.3622,.126717417643966,.0895157647372462,.2529,.3459,.534912252627087,.632566715953327,462,27,.1059,.1938,.2617,.5076,.641034178650492,.736906427020648,14.9,13.8,61.1,89,35.2,3287,35,4,700,259,19,10,1,6,1820,1860,1880,200,12,35,8,35,64,1932,10,1920,97,1920,1920,1920,1910,1910,1,2,1948,0,0,1,1949,1,1,1,1,1,174,1,10,30,9999,3,20,15,1,1,1,1,1,20,5,18,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,4.31,8888,1436480,1238962,.768837280580089,.402862782741747,.0163750662324833,.451658940653032,.528267624497099,.00383362000734003,.2192680306159,.764544099895206,.228752878157433,.0374536249410704,.0962,.6773,.81167417673752,10.2544013273113,8.44199885654988,8.56708501479326,11.1500865371458,8.65934669833777,5.94934230980336,6.32047237181518,7.32654619253244,7.02037631295189,5.6468686093739,4.1415456953479,5.16286591978565,3.52909933772662,3.2820831587964,2.40373086839852,3.36440320572856,3.43957087666831,3.43480232117288,4.74143105003889,7.33982109385596,7.72722209846291,10.3370393849062,11.0948445300101,12.9154633966765,13.3624787515112,12.3525141483797
3,6000,6000,5000,6000,6000,6000,1000,1000,2000,3000,4000,5000,2,3,0,0,0,1,1937,1939,19,0,2806,60,51,370,0,15,0,0,1,1,3,1,8888,1,8888,8888,797,4475,30088,0,0,34870,1255,9999,16500,3300,3300,8888,1,2,2,1,0,0,299,8888,8888,3,7,0,7,8,1069,.036,.0884,.0827,.1358,.188937836514929,.326513911620295,.6765,.6425,.378,.1987,.135702040816327,.0727040816326531,.0495,.0726,.2561,.5003,.550532653061224,.600765306122449,.274,.2849,.3659,.301,.313765306122449,.326530612244898,.9416,.7954,.7303,.7112,.692045454545455,.730409068506654,.908,.8763,.9146,.7448,.599983846680356,.455167693360712,.0392,.052,.0291,.1507,.245438980150582,.340177960301164,.0528,.0717000000000001,.0563000000000001,.1045,.154577173169062,.204654346338125,.79,.4304,.2247,.3882,.283748361730013,.220712277413308,.0008,.0037,.0674,.0675,.0072083879423329,.0196813495782568,.6566,.7204,.318730158730159,.232902033271719,.0368,.0864,.271746031746032,.384011090573013,41,0,.0167,.0221,.049,.2506,.441255364806867,.550942549371634,20.8,16.1,47.8,64.2,48.3,0,2,0,17,1,0,0,0,0,1940,1975,8888,2,2,0,1,2,0,8888,0,1966,95,1968,1966,1970,1890,8888,2,1,1978,0,70,1,1968,1,2,1,1,2,2,2,8888,1,9999,0,1,1,2,2,1,1,12,31,8888,8888,2,1,1,2,2,2,2,8888,2,2,2,2,1,2,2,1,1,2.55,6.88,6647,5312,.733771929824561,.325357005017368,.35361216730038,.365019011406844,.262357414448669,.063231850117096,.489461358313817,.430913348946136,.195080576759966,.0407124681933842,.1263,.507,.655891980360065,16.6527893422148,16.4476180813106,16.2449746399467,16.044827874036,0,0,15.6543526773184,15.6568040323834,0,0,0,0,0,0,0,16.1786118751011,0,0,0,0,30.08876184745,14.8272610615289,0,0,27.7665717435377,13.607293509321
4,20000,25000,31000,35000,45000,52000,7000,12000,12000,14000,17000,18000,2,2,15426,4224,15131,1,1934,1938,6,1,19977,0,194,4977,0,0,0,0,1,8888,3,1,8888,8888,8888,8888,7050,23000,9999,0,0,11897,34178,9999,13500,5000,2000,8888,1,2,1,2,0,6300,0,8888,3,8888,20,15,5,49,1880,.0464,.1111,.08,.0763,.0727334007414897,.150215053763441,.4892,.7219,.6253,.4208,.21627408993576,.137225734473782,.0153,.0306,.1063,.1313,.156316916488223,.263666790628486,.4955,.2475,.2684,.4479,.627408993576017,.599107474897732,.9057,.883,.6893,.6807,.672218779051751,.602027241051631,.9008,.8967,.8938,.8067,.719518190757129,.52732060566162,.0401,.039,.0411,.0863,.131514257620452,.243252139565504,.0590999999999999,.0642999999999999,.0650999999999999,.107,.148967551622419,.229427254772877,.6367,.3827,.4349,.5539,.36359457595955,.261909262759924,.0042,.0044,.0468,.0709,.0105722822339692,.0171077504725898,.6388,.8071,.478791991856125,.337846047036362,.0484,.0815,.155638502431852,.277531892736267,244,27,.0172,.0494,.0757,.2399,.369885433715221,.516069708380769,20.9,27.7,38.8,86.3,58.6,138,6,2,10,2,1,1,2,2,1900,1957,1985,8,2,0,6,1,1,1968,2,1949,92,1957,1960,1975,1920,1933,1,2,1954,0,0,1,1951,1,2,1,1,2,6,1,8,6,5,1,1,5,1,1,2,1,12,12,8888,8888,2,1,1,2,1,2,2,2,1,2,1,1,2,2,1,2,2,13.62,1,56655,21176,.716586316545287,.203681710213777,.489836944382399,.238552602188966,.2640160821979,.176417151162791,.250908430232558,.565406976744186,.247219320346586,.0227370490997358,.2515,.3367,.645117682558841,4.48984173307891,13.100932432992,4.2474753953848,2.06562174028545,0,11.7247039512252,3.89836627853553,5.8327842367531,7.75740845077994,3.86891041844006,1.92957067052581,1.93897757524902,5.84529101952107,3.9158583757451,1.96747434400829,0,9.66360779712585,1.88937170636578,3.69398833205673,9.02783564993848,3.5301385579384,8.62739885938797,3.37355647014318,14.8405027669126,11.8203615394106,16.7003456971559
5,29000,35000,36000,53000,79000,97000,1000,1000,1000,1000,2000,2000,3,4,41479,616,2000,1,1973,1973,2,0,1400,0,0,0,0,0,0,0,9999,8888,8888,8888,8888,8888,8888,8888,0,1451,0,0,0,0,1451,9999,8888,9999,8888,8888,2,2,2,2,0,0,0,8888,8888,8888,5,4,1,82,4074,.0675,.1142,.1221,.1255,.128810070461563,.219883738262036,.4567,.5032,.2711,.1862,.101353582040277,.0657746478873239,.0962,.0569,.1513,.1451,.138989765599208,.156901408450704,.4471,.4399,.5776,.6687,.759656652360515,.777323943661972,.9232,.8665,.6404,.6204,.600444710510562,.571584930974826,.839,.8256,.697,.5655,.433915016824478,.285853278848025,.0915,.0858,.1405,.2085,.276469207293215,.340208860348965,.0695,.0886,.1625,.226,.289615775882307,.37393786080301,.4255,.3628,.2072,.3155,.187440892755816,.182408500590319,.0124,.0049,.1056,.057,.0219406090410441,.0284715284715285,.5772,.7018,.352488923638259,.265718770196658,.077,.1085,.220224133437581,.343273935924661,537,53,.0405,.0624,.1045,.268,.395952376005153,.560998166566612,27.3,29,40.9,57.9,61.9,117,4,0,2,1,0,0,0,0,1954,1979,8888,2,0,0,15,4,6,1970,0,1960,90,1969,1969,1963,1900,1905,2,1,1969,0,12,1,1957,2,2,2,2,2,9,2,8888,0,4,0,0,1,2,2,2,2,5,15,8888,8888,2,1,1,2,1,2,2,2,8888,2,2,2,8888,8888,2,2,2,1.65,1,115656,2629,.721207583496002,.287379212021091,.263393590797042,.363475760065735,.37177485620378,.0874532335649385,.262159273115981,.647314270443613,.21420800376371,.0165544414713752,.1993,.4115,.683462832670541,8.9167430958932,8.66785305580823,13.2407160276229,10.5309265014835,9.09953804878646,7.7398525005252,9.81835849460231,5.38180690721218,2.12397712242393,6.28684598085637,5.16908062731962,3.0725149663375,2.02923431736558,5.02575897907176,3.98309894124189,1.97297030679688,1.92162572864332,2.80742601264408,4.5572759327854,7.10188381836116,3.45853219893477,14.3162412754796,9.84259441453036,14.37967611454,6.67037943493454,17.3515000784949
6,11000,12000,14000,13000,15000,16000,2000,2000,3000,4000,5000,6000,2,3,0,0,0,1,1937,1970,11,1,10104,0,38,169,0,228,0,0,3,8888,2,1,8888,1,8888,8888,2326,10974,57015,130,0,63191,11646,9999,20000,5000,3000,8888,1,1,1,2,1358,578,0,9999,2,8888,12,0,12,10,2096,.0671,.088,.068,.0936,.119338470212366,.246138176879986,.4268,.6,.4405,.2785,.189787634408602,.101075268817204,.1056,.0892,.1587,.2225,.314475806451613,.406451612903226,.4676,.3108,.4008,.499,.495736559139785,.49247311827957,.9308,.8624,.7089,.6943,.679699931802682,.68507614213198,.9151,.9096,.8797,.7453,.61655243902439,.48780487804878,.0337,.0302,.0586,.1546,.255653658536585,.356707317073171,.0511999999999999,.0602000000000001,.0616999999999999,.1001,.127793902439024,.155487804878049,.7446,.5216,.3337,.4742,.343455188679245,.26629711751663,.0011,.0066,.0472,.0592,.017688679245283,.0239467849223947,.6153,.7904,.418970032004655,.262885437767274,.0527,.0667,.192027931335467,.335358991672293,77,4,.0101,.0241,.0459,.2164,.397766775518803,.425046382189239,20.1,8.8,45.6,70.9,51.4,0,12,0,42,4,0,0,0,0,1950,1984,8888,5,2,2,4,2,1,1980,3,1954,71,1963,1957,1938,1910,1975,2,1,1977,0,15,1,1968,1,1,1,2,1,4,1,4,1,35,1,5,2,2,1,2,1,5,14,8888,8888,2,2,1,1,2,1,2,2,2,2,2,2,2,8888,2,2,2,3.96,1,17325,7620,.782608695652174,.2546316881577,.397729905026639,.394486912207552,.199907343062312,.0855439642324888,.319225037257824,.592250372578241,.268200611181017,.0168973575408952,.1621,.5792,.635704147610787,0,6.6433341810356,0,6.61715995222635,0,0,6.54915392644797,0,0,0,6.38406537282942,0,0,6.42849088761685,6.44336798635624,0,12.6295773440984,6.17448592680373,12.0746008901437,11.8063259342249,23.0880230880231,5.64376264346378,5.51836883639994,16.187283132726,16.8582758574688,11.1638291934133
7,17000,20000,17000,23000,24000,28000,1000,2000,1000,2000,3000,4000,3,3,0,0,0,2,8888,8888,8888,1,1500,0,200,0,0,0,0,0,3,8888,3,8888,8888,8888,8888,8888,700,2300,6300,700,0,10000,0,9999,16000,7000,5000,8888,1,2,2,1,0,0,700,8888,8888,2,44,3,41,180,35367,.083,.1072,.1147,.1712,.227705112960761,.359835438193647,.3023,.4029,.1702,.0991,.0706285655625513,.0421571311251027,.3708,.2942,.4843,.6041,.569912031207227,.535724062414454,.3269,.3029,.3455,.2968,.359459403230222,.422118806460443,.873,.8867,.6725,.7007,.728849028400598,.764937471051413,.7395,.6519,.7386,.5715,.450825454265476,.330150908530952,.154,.2059,.1197,.2407,.31160346473668,.38250692947336,.1065,.1422,.1417,.1878,.237571080997844,.287342161995688,.5116,.3645,.2151,.3815,.237634245953714,.219536456779071,.0052,.008,.0967,.0681,.0299500831946755,.0576942206306575,.5381,.6659,.232356647763075,.171605307792078,.0653,.1129,.283711405166982,.430509827396987,426,13,.0801,.0764,.1457,.3022,.484214786832164,.58249581239531,18.3,10.3,63.1,79.7,29.6,203,6,2,110,9,5,2,1,0,1935,1957,1975,8,5,2,5,7,3,1955,5,1973,93,1983,1973,1973,1900,8888,2,1,1993,0,60,1,1968,1,2,1,1,1,25,1,5,10,50,1,1,0,1,1,2,1,1,4,4,23,2,1,1,1,1,1,2,8888,1,2,2,2,2,2,2,2,2,4,1,31166,4142,.801834021091243,.376792804472895,.298622315998511,.373215837160233,.322080178726573,.0310267857142857,.516294642857143,.445982142857143,.227463312368973,.0439445250766006,.144,.5595,.685509043485697,4.23764725824222,8.23565194270126,20.0069634127161,11.6647547841796,3.77830961951085,7.34295260124096,14.6400749516938,10.9457907924015,14.5488430706776,0,7.22908985758693,14.5319362315014,7.3030345035341,0,7.37773551173046,3.70768603314671,3.60202022914158,3.49936580798715,6.79927389582035,3.30275027298273,32.0862478341783,3.11718178785142,36.3401380506532,26.4783569626763,24.5450550967194,12.1359223300971
8,38000,54000,83000,113000,145000,162000,2000,3000,5000,6000,6000,8000,3,3,4172,2102,3550,1,1927,1940,5,6,2325,1560,591,682,1789,0,0,2313,1,1,1,1,1,8888,8888,1,8823,5317,9099,6317,0,1234,31868,9999,30000,20000,5000,8888,1,2,1,1,0,110,635,8888,3,3,54,2,52,66,9420,.1426,.1795,.1786,.2031,.22749247107307,.316370164844133,.3388,.579,.2376,.2115,.1854,.141634574240479,.1373,.0567,.226,.2099,.1938,.150620453572957,.5239,.3643,.5364,.5786,.62,.707744972186564,.849,.8256,.6466,.6792,.711943475700892,.72006569125112,.7222,.8171,.5201,.4103,.3006,.231465609599314,.1247,.0606,.1786,.2069,.2353,.252999785729591,.1531,.1223,.3013,.3828,.4641,.515534604671095,.3868,.2599,.1589,.2183,.18934799537485,.203168316831683,.0229,.0078,.0975,.1023,.0303938457181962,.0463006300630063,.2581,.3352,.21468182623889,.173873062342829,.2672,.2656,.378820490744727,.473820515707691,226,34,.1097,.1675,.2362,.4994,.573556004680353,.649942617852418,20.6,49.7,44.6,73,56.2,0,9999,50,94,25,5,5,1,1,1900,1925,1930,190,12,6,3,5,16,1950,2,1920,90,1969,1920,1922,1900,1910,2,1,1980,0,10,1,1980,2,1,1,2,1,110,1,20,22,50,1,1,3,1,1,2,2,5,4,8888,8888,2,2,2,2,2,2,2,2,2,2,1,2,2,8888,2,1,2,6.98,26.85,186102,8464,.771894031668697,.388182712809579,.231849117791385,.252778903799791,.510571568773869,.142433121503862,.146618973324708,.703451425092279,.170724316918294,.0452269912786868,.134,.5533,.737124679736304,19.3238048571764,18.9425677057449,27.8532779081658,31.2043014303998,19.1179220695862,14.3679058464883,13.0885874327088,11.1931889534465,6.20424838688666,11.1421635235811,12.3519312244469,7.9439430595275,10.8831139508654,9.57168846780028,5.32719976762732,8.19921756038138,21.8750416301205,10.1849455999649,5.56169444729361,19.1335734074543,15.0455126758444,14.7886287925969,11.42124569939,12.7570929313829,15.4524617733913,32.6184457310609
9,17000,19000,34000,38000,50000,57000,8000,10000,19000,24000,32000,36000,2,2,25963,11095,0,1,1924,1938,7,3,3295,1515,591,0,1680,0,30,1480,3,1,3,8888,1,8888,1,1,7854,7274,2233,26497,9999,17771,26087,9999,22000,11000,5000,35000,1,1,1,1,1963,1964,1964,3,3,3,2,0,2,106,34214,.061,.133,.1121,.1303,.14833441808177,.263123236124177,.3828,.5299,.2198,.1394,.0589,.10038824181919,.1118,.0855,.2554,.1911,.1269,.126455906821963,.5054,.3846,.5248,.6695,.8142,.773155851358846,.9228,.8325,.7052,.7193,.733507170795306,.715428937259923,.756,.7307,.6344,.5164,.3983,.336256863941428,.1169,.1215,.1952,.2527,.3103,.319554606467358,.1271,.1478,.1704,.2309,.2914,.344188529591214,.5049,.3195,.2795,.3292,.267711876941281,.264350035909618,.0062,.0036,.065,.0754,.0310604940097619,.047897906193028,.5412,.4132,.265845482186014,.228968007673644,.1831,.2682,.340843533172215,.39705467471647,237,35,.0522,.0837,.1516,.3736,.510227699236832,.568727272727273,19.7,22.9,67.1,92.8,24.1,0,8,1,15,2,1,2,0,0,1942,1958,1950,18,7,1,13,5,5,1950,2,1908,85,1938,1908,1933,1880,1890,1,2,1966,0,0,1,1966,1,1,1,1,1,18,1,10,10,20,0,8,16,2,1,1,1,1,1,1,6,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,33.88,41.29,64141,39209,.768459601739529,.308504864097532,.510521204273228,.195791518290709,.284558109420524,.286531390439875,.0927413863543511,.606019338145172,.195361246180989,.0500882137785619,.1133,.6184,.6891152160164,17.98956605169,9.84126861424226,48.4533706335368,55.3458277102564,22.5512717629807,38.8608227391329,31.1242549909962,23.5478219127262,19.7132133685007,14.1844359790598,17.5420131214258,16.0938602853568,9.11435641386093,26.0149098155733,9.47114704154729,17.3785432918823,27.7511383320395,12.4081280243692,10.1900932601211,4.88165232715617,0,5.97506930851161,11.4496345618208,23.3114475552237,33.542840600267,14.3424694863962
10,8000,10000,12000,12000,12000,9000,1000,1000,2000,2000,2000,1000,3,4,14802,18761,0,1,9999,9999,9999,0,107,0,16,30,0,0,0,245,3,8888,3,1,8888,8888,8888,1,85,3945,11258,3578,0,4790,15210,9999,17000,15000,9999,8888,1,2,2,2,0,0,0,8888,8888,8888,0,0,0,1,87,.0453,.0806,.1584,.1224,.0863,.130591831064184,.572,.744,.5789,.5189,.4589,.274336283185841,.03,.02,.0977,.0916,.0854,.0663716814159292,.398,.236,.3234,.3895,.4557,.65929203539823,.9475,.8889,.6924,.6704,.6483,.541278065630397,.9406,.9409,.9239,.8543,.7847,.59734219269103,.0215,.0191,.0394,.07,.1005,.219269102990033,.0379,.0400000000000001,.0366999999999999,.0757000000000001,.1148,.183388704318937,.7246,.5361,.3882,.7307,.4091,.40534262485482,.0066,.001,.0223,.0288,.021,.0307781649245064,.4779,.8285,.3976,.450261780104712,.1061,.0934,.3808,.251832460732984,51,0,.0167,.0292,.0775,.2562,.4226,.4469428615432,14.7,24.6,51.4,94,19.9,0,10,0,3,1,0,0,0,0,1969,1972,8888,3,0,0,44,0,1,1974,0,1963,95,1865,1963,1970,1945,1947,1,2,1988,0,5,1,1965,2,2,1,2,2,1,1,6,2,50,2,1,1,2,2,2,2,1,12,12,12,1,1,1,1,1,1,1,2,1,1,1,1,1,8888,1,1,1,2.99,1,6890,576,.740023246803564,.173269032035825,.563258232235702,.195840554592721,.225303292894281,.0731707317073171,.0914634146341463,.817073170731707,.494050452165635,.048548310328415,.3698,.2969,.529083378354043,16.4298036638462,0,73.2099898302375,0,0,10.7596298687325,10.8704049954996,0,0,33.6288610074674,56.6251415628539,35.8226749533953,25.1804921786905,39.8247386932572,0,14.7579693034238,29.4176132077941,87.9588460699614,14.610971981139,29.1245979371529,14.5137880986938,86.7926329881043,0,14.3692229527138,15.7881319036037,0
