iso2c,country,year,exports_pc_gdp,gdp,iso3c,region,capital,longitude,latitude,income,lending
AF,Afghanistan,1960,4.13223321494422,537777811.111111,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1961,4.45344326574765,548888895.555556,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1962,4.87805112036481,546666677.777778,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1963,9.171601094149,751111191.111111,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1964,8.88889256172819,800000044.444444,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1965,11.2582791310323,1006666637.77778,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1966,8.57142877551021,1399999966.66667,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1967,6.77290842314672,1673333417.77778,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1968,8.89967664482985,1373333366.66667,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1969,10.0946369851427,1408888922.22222,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1970,9.78400228346932,1748886595.55556,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1971,10.922342255116,1831108971.11111,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1972,14.7632312416105,1595555475.55556,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1973,12.9487180787311,1733333264.44444,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1974,14.0206189325114,2155555497.77778,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1975,12.6760568934735,2366666615.55556,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1976,13.2173912468809,2555555566.66667,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1977,11.6629043316852,2953333417.77778,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1978,10.8417502819894,3300000108.88889,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1979,,3697940409.61098,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
