product,group names
Vehicle Bodies,automotive
Textile Bags,textile/clothing
Milled Rice,agriculture
Tea,other
Fish,other
Radio-broadcast receivers,electronics
Tobacco unmanufactured; tobacco refuse,agriculture
Natural Rubber,other
Sulphur,other
Honey,agriculture
Metallic Oxides,other
Miscellaneous Organo-Inorganic Compounds,other
Chemical Products,other
Raw Cotton,agriculture
Confectionary Sugar,agriculture
"Veneers, plywood, improved wood and other wood, worked, nes",other
Miscellaneous Non-Electrical Machinery Parts,other
Wine,agriculture
Lubricating Petroleum Oils,other
"Petroleum products, refined",fossil fuels
Pharmaceutical Flora,other
Metal Containers,other
Petroleum Jelly,other
Coffee,agriculture
Miscellaneous Vegetable Origin Materials,agriculture
"Fish, crustaceans and molluscs, misc",other
Gas Generators,other
Cars,automotive
"Household equipment of base metal, nes",other
Liquor,other
Glazes,other
"Pesticides, disinfectants",other
Measuring Controlling Instruments,other
Cement,other
Light oils,other
Footwear,other
Agave Fibers,other
Refined Sugars,agriculture
Bovine,agriculture
Butter,agriculture
Notebooks,other
Glass Bottles,other
Miscellaneous Printed Matter,other
Unclassified Transactions,other
Batteries,other
"Household type equipment, nes",other
Coated Textile Fabrics,textile/clothing
Miscellaneous Metal Articles,other
Natural Gums,other
Maize,agriculture
Printed Books and Maps,other
Machinery specialized for specific industries,other
Roller Bearings,other
Automotive Electrical Equipment,automotive
Organic Chemicals,other
Tanning Extracts,other
"Nonoptical Glass Balls, Rods or Tubes",other
Asbestos,other
Unwrought Lead,other
Finished Cotton Fabrics,textile/clothing
Miscellaneous Vegetable Textile Fibres,textile/clothing
Live Plants,other
Tanned Furskins,other
Degreased Sheep Wool,other
Chemical Elements,other
Spices,agriculture
Locksmith Hardware,other
Lighting Fixtures,other
Clocks,other
Toys and Games,other
Lightbulbs,other
Miscellaneous manufactured articles,other
Furniture and parts thereof,other
Cutlery,other
Pins and Needles,other
Artwork,other
Umbrellas and Canes,other
Pasta,other
Vegetables,agriculture
"Fruit and nuts, fresh, dried",agriculture
Miscellaneous Edibles,other
Antibiotics,other
Gypsum and Other Calcareous Stone,other
Precious Jewellery,other
Carving and Molding Tools,other
Unmounted Precious Stones,other
Unmounted Pearls,other
Silk Yarn,textile/clothing
"Fabrics, woven, of man-made fibres (not narrow or special fabrics)",textile/clothing
"Knitted or crocheted fabrics (including tubular, etc, fabrics)",textile/clothing
Cotton Waste,agriculture
Decorative Wood,other
Embroidery,other
Linens,other
Luggage,other
"Men's and boys' outerwear, textile fabrics not knitted or crocheted",textile/clothing
Textile Fabrics Clothing Accessories,textile/clothing
Knit Clothing Accessories,textile/clothing
Vegetable Plaiting Materials,other
"Fish, preserved",other
Pyrotechnic Articles,other
Imitation Jewellery,other
Miscellaneous Live Animals,agriculture
Processed Copper,other
Cotton Yarn,other
Pepper,agriculture
Electrical Insulators,other
Manufactured goods classified chiefly by materials,other
Unwrought Zinc,other
Quartz,other
Yarn of Textile Fibers,textile/clothing
Jute Woven Fabrics,textile/clothing
Planting Seeds and Spores,agriculture
Soil Preparation Machinery,other
Developed Cinema Film,other
Miscellaneous Electrical Machinery,other
Pianos and String Instruments,other
Medicaments,other
"Synthetic dye, natural indigo, lakes",other
Diamonds,other
Cotton,agriculture
Wood and Animal Hair Waste,other
"Rubber tires, tire cases, inner and flaps, for wheels of all kinds",other
Miscellaneous Rubber,other
Textiles Fabrics for Machinery,textile/clothing
Polishing Stones,other
Iron Wire,other
Iron Tubes,other
Fasteners,other
Metal Chains,other
Machinery and transport equipment,other
Miscellaneous Engines,other
Miscellaneous Agricultural Machinery,other
Sewing Machinery,other
Textile Machinery,other
Paper & pulp mill machinery,other
"Printing, bookbinding machinery, and parts thereof, nes",other
Grain Milling Machinery,other
Machine Tools for Specialized Industries,other
"Metalworking machine-tools, parts and accessories thereof",other
"Pumps, compressors, fans and blowers",other
Mechanical handling equipment and parts,other
Miscellaneous Non-Electrical Machines,other
Power Tools,other
Trucks and Vans,automotive
Chassis with Engines,automotive
Motorcycles,automotive
Railway Track Fixtures and Fittings,other
Movie Cameras and Equipment,other
Musical Instrument Parts,other
"Armoured Vehicles, Firearms and Ammunition",other
Mirrors,other
Typewriters,other
Calculating Machines,other
Miscellaneous Office Equipment,other
Automatic data processing machines,other
Television receivers,electronics
Sound recording devices,electronics
"Telecommunication equipment, nes; parts and accessories, nes",electronics
Electrical apparatus for making and breaking electrical circuits,electronics
"Thermionic, microcircuits, transistors, valves, etc",other
Optical Instruments,other
Cameras,electronics
Photo and Movie Equipment,electronics
Optical Lenses,other
Sporting Goods,other
Miscellaneous Musical Instruments,other
Sound Recording Media,electronics
Internal Combustion Engines for Aircraft,other
Miscellaneous Aircraft Equipment,other
Uninsulated Steel Wire,other
Metal Cables,other
"Gas, Liquid and Electric Meters",other
Miscellaneous Artificial Plastics,other
Pig and Cast Iron,other
Thin Iron Sheets,other
Miscellaneous Processed Iron,other
Iron or steel hot or cold rolled,other
Miscellaneous Iron Tubes and Pipes,other
Non-Coniferous Worked Wood,other
Sawn Wood Less Than 5mm Thick,other
Miscellaneous Manufactured Wood Articles,other
Correspondence Stationary,other
Building Materials,other
Miscellaneous Glass,other
Iron Bars and Rods,other
Processed Aluminium,other
Domestic Non-Electric Stoves,other
Miscellaneous Articles of Base Metals,other
Electric Wire,other
Hats,other
Glassware,other
Porcelain,other
Pottery,other
Miscellaneous Ceramic Ornaments,other
Miscellaneous Hand Tools,other
Miscellaneous Base Metal Household Appliances,other
Bicycles,other
Metal Office Products,other
Pens and Pencils,other
Miscellaneous Office and Stationary Supplies,other
Miscellaneous Small Wares,other
Dissolving Grade Chemical Wood Pulp,other
Chemical Wood Pulp of Soda or Sulphate,other
Woods and Resin Chemicals,other
Newsprint,other
Rolls of Paper,other
Acyclic Alcohols,other
Miscellaneous Vegetables,agriculture
Prepared Fruit,agriculture
Rubber Materials,other
Natural Calcium Phosphates,other
Metallic Salts and Peroxysalts of Inorganic Acids,other
Metallic Salts,other
Phosphatic Fertilizers,agriculture
Food Waste and Animal Feed,agriculture
Vegetable Alkaloids and Derivatives,other
Non-Medicinal Pharmaceutical Products,other
Miscellaneous Converted Paper,other
Cut Paper,other
Special Products of Textile,other
Newspapers and Journals,other
Nitrogenous Fertilizers,agriculture
Potassic Fertilizers,agriculture
Synthetic Rubber,other
Monocarboxylic Acids,other
Other Nitrogen Function Compounds,other
"Aldehyde, Ketone and Quinone-Function Compounds",other
Inorganic Esters,other
Miscellaneous Coloring Products,other
Vitamins,other
Hormones,other
Polymerization and copolymerization products,other
Regenerated cellulose; derivatives of cellulose; vulcanized fibre,other
X-Ray Equipment,other
Medical Instruments,other
Photographic Film,other
Orthopedic Devices,other
Copper Ores,other
Miscellaneous Non-Ferrous Ores,other
Copper,other
Miscellaneous Clay and Refractory Minerals,other
Salt,other
Raw Silk,other
Textile yarn,textile/clothing
Yarn of Regenerated Fibers,textile/clothing
Woven textile fabrics,textile/clothing
Silk Woven Fabrics,textile/clothing
Miscellaneous Woven Fabrics,textile/clothing
Rags,textile/clothing
Elastic Fabrics and Trimming,textile/clothing
Ropes and Cables,other
"Made-up articles, wholly or chiefly of textile materials, nes",textile/clothing
Leather Accessories,other
Headgear,other
Basketwork,other
Oil Seeds Flour,agriculture
Cotton Linters,agriculture
Cocoa Beans,agriculture
Waxes,other
Legumes,agriculture
Crustaceans and Molluscs,other
"Bones, Ivory and Horns",other
Fine Animal Hair,other
Coarse Animal Hair,other
Glues,other
Bovine and Equine Leather,other
Finished Leather,other
Iron Waste,other
Linoleum,other
Asbestos Products,other
Miscellaneous Articles of Glass,other
Gauze and Netting,other
Farming Hand Tools,other
Leather Tanning Machinery,other
Candles and Matches,other
Miscellaneous Manufactured Goods,other
Regenerated Fiber,other
Uncarded Discontinuous Synthetic Fibers,other
Fruit or Vegetable Juices,other
Cigarretes,other
Watches,other
Miscellaneous Hides and Skins,other
"Miscellaneous chemical products, nes",other
Medicinal and pharmaceutical products,other
"Wheat and meslin, unmilled",agriculture
Miscellaneous Animal Origin Materials,other
"Gas, natural and manufactured",fossil fuels
Internal combustion piston engines and parts,automotive
Non-road tractors,other
Plastic or Rubber Clothing,other
Coniferous Wood,other
Improved Wood,other
Flour,agriculture
Miscellaneous Fruit,agriculture
Chocolate,other
Olive Oil,other
"Inorganic chemical elements, oxides and halogen salts",other
Knotted Carpets,other
Essential Oils,other
Nuts,agriculture
Cocoa Butter,agriculture
Apples,agriculture
Grapes and Raisins,agriculture
Wheat Flour,agriculture
Miscellaneous Prepared Meats,other
Eggs,agriculture
Preserved Milk,agriculture
Cheese,agriculture
Worked Building Stone,other
Harvesting Machines,other
Miscellaneous Mineral Working Tools,other
Non-Military Arms,other
Eyewear,other
Inorganic Chemical Products,other
Glycosides and Vaccines,other
Aluminum,other
"Textile yarn, fabrics, made-up articles, nes, and related products",textile/clothing
Wool Yarn,textile/clothing
Transmission Belts,automotive
Unworked Cast Glass,other
Metal Springs,other
Dairy Machinery,other
Civil engineering equipment,other
Special Purpose Trucks and Vans,automotive
Miscellaneous Refractory Goods,other
Refractory Bricks,other
"Non-ferrous base metal waste and scrap, nes",other
Ferro-alloys,other
Iron Shapes,other
Universal plates of iron or steel,other
Zinc,other
Fiberboard,other
Iron Structures,other
Reservoir Tanks,other
Blown Glass,other
Sugar Syrups,other
Cigars,other
Hydrogenated Oils,other
Fatty and Oil Acids,other
Sands,other
Perfumery and Cosmetics,other
Miscellaneous Natural Abrasives,other
"Hydrocarbons, nes, and derivatives",other
Photographic Chemicals,other
Inorganic Bases,other
Unworked Building Stone,other
Miscellaneous Crude Minerals,other
Zinc Ore,other
Rough Iron Castings,other
Flax,agriculture
Flax Fabrics,other
Oilcake,other
Green Groundnuts,agriculture
Oranges,agriculture
Miscellaneous Animal Oils,other
Leather Articles Used in Machinery,other
Worked Nickel,other
"Musical instruments, parts and accessories thereof",other
"Other miscellaneous manufactured articles, nes",other
Steam & other vapour generating boilers & parts,other
"Wood manufactures, nes",other
Printed matter,other
"Vegetables, fresh or simply preserved; roots and tubers",agriculture
"Fruit, preserved, and fruits preparations",agriculture
Sugar and honey,agriculture
Inorganic Acids and Oxygen Compounds,other
Miscellaneous Organic Surfactants,other
Other organic chemicals,other
Iron ore and concentrates,other
"Silver, platinum and other metals of the platinum group",other
"Pearl, precious and semi-precious stones, unworked or worked",other
Synthetic Precious Stones,other
"Seeds and oleaginous fruit, whole or broken, for other fixed oils",agriculture
"Vegetable textile fibres, excluding cotton, jute, and waste",textile/clothing
Manufactured tobacco,other
Coffee and coffee substitutes,agriculture
"live animals used for food, misc",agriculture
Wool and other animal hair (excluding tops),other
Crude animal materials,agriculture
"Crude vegetable materials, nes",agriculture
"Jewellery, gold and other articles of precious metal",other
Miscellaneous Metallurgy Equipment,other
Initiating Devices,other
Abrasive Powder,other
Seamless Iron Tubes,other
